Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
Blackrock Health,Add Members,2026-05-28 14:08:35.844000Z,174162M,Received,Active
Kirwan Pike Insurance and Fin Servs,Add Members,2026-05-28 14:06:28.663000Z,172478M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-28 14:00:27.418000Z,172323M,Completed,Active
MMPI,Add Members,2026-05-28 13:57:09.053000Z,172185M,Completed,Active
Aon,Add Members,2026-05-28 13:55:55.081000Z,172217M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-28 13:55:12.741000Z,174153M,Received,Active
Irish Life,Add Members,2026-05-28 13:52:09.042000Z,173974M,Completed,Active
Blackrock Health,Add Members,2026-05-28 13:50:07.763000Z,174162M,Submitted,Active
USAA International SERVCO DAC,Add Members,2026-05-28 13:49:31.259000Z,172221M,Completed,Active
Kaseya Limited,Add Members,2026-05-28 13:46:46.051000Z,171815M,Completed,Active
Freshways limited Company,Add Members,2026-05-28 13:44:35.239000Z,172314M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-28 13:35:12.184000Z,174153M,Submitted,Active
Zellis,Add Members,2026-05-28 13:29:21.046000Z,174117M,Received,Active
Goldman Sachs Administration Serv Co Ltd,Add Members,2026-05-28 13:24:45.320000Z,172278M,Completed,Active
Caredoc,Add Members,2026-05-28 13:23:24.328000Z,169113M,Completed,Active
Maxol Lubricants Ltd,Add Members,2026-05-28 13:19:58.076000Z,173342M,Completed,Active
Dublin Simon Community,Add Members,2026-05-28 13:18:08.374000Z,173306M,Completed,Active
Provest Private Clients Ltd,Add Members,2026-05-28 13:15:27.127000Z,173279M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-28 13:13:56.198000Z,174115M,Received,Active
Shopify International Limited,Add Members,2026-05-28 13:13:49.847000Z,174105M,Received,Active
Zellis,Add Members,2026-05-28 13:01:43.304000Z,174117M,Submitted,Active
Shopify International Limited,Add Members,2026-05-28 13:00:51.908000Z,174099M,Received,Active
Unio Employee Benefits,Add Members,2026-05-28 12:59:26.373000Z,174115M,Submitted,Active
Shopify International Limited,Add Members,2026-05-28 12:47:53.906000Z,174105M,Submitted,Active
Shopify International Limited,Add Members,2026-05-28 12:42:14.949000Z,174099M,Submitted,Active
Tim Ryan FCD,Add Members,2026-05-28 12:06:42.660000Z,172330M,Completed,Active
MMPI,Add Members,2026-05-28 12:04:50.958000Z,172195M,Completed,Active
Lane Clark and Peacock Ireland Ltd,Add Members,2026-05-28 11:54:52.466000Z,172305M,Completed,Active
CCG Aonad Slainte do Mhic Leinn Teo,Add Members,2026-05-28 11:47:20.245000Z,172312M,Completed,Active
Amcor Flexibles Sligo Ltd,Add Members,2026-05-28 11:42:24.524000Z,174038M,Received,Active
Irish Life,Add Members,2026-05-28 11:29:30.706000Z,174018M,Received,Active
Amcor Flexibles Sligo Ltd,Add Members,2026-05-28 11:20:26.640000Z,174038M,Submitted,Active
Irish Life,Add Members,2026-05-28 11:16:40.581000Z,174016M,Received,Active
FNZ Europe,Add Members,2026-05-28 11:16:35.336000Z,174015M,Received,Active
Moog Ireland Limited,Add Members,2026-05-28 11:13:19.158000Z,171562M,Completed,Active
Moneywise Financial Planning Ltd,Add Members,2026-05-28 11:13:03.850000Z,173280M,Completed,Active
Glennon Employee Benefits,Add Members,2026-05-28 11:08:53.132000Z,172207M,Completed,Active
Irish Life,Add Members,2026-05-28 11:04:21.662000Z,174018M,Submitted,Active
Irish Life,Add Members,2026-05-28 11:03:29.103000Z,174016M,Submitted,Active
FNZ Europe,Add Members,2026-05-28 11:03:18.496000Z,174015M,Submitted,Active
Prosper Group Fingal and Meath,Add Members,2026-05-28 10:57:12.919000Z,173616M,Completed,Active
St Catherines Association CLG,Add Members,2026-05-28 10:51:41.897000Z,173882M,Completed,Active
St Vincents Healthcare Group,Add Members,2026-05-28 10:50:35.727000Z,173986M,Received,Active
Society of Saint Vincent De Paul,Add Members,2026-05-28 10:50:28.811000Z,173985M,Received,Active
Tandem Project Management Limited,Add Members,2026-05-28 10:50:28.003000Z,173988M,Received,Active
Wallace Financial Consultants Ltd,Add Members,2026-05-28 10:49:22.318000Z,172497M,Completed,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-28 10:48:11.614000Z,172475M,Cancelled,Active
Irish Life,Add Members,2026-05-28 10:37:31.421000Z,173974M,Received,Active
Wallace Financial Consultants Ltd,Add Members,2026-05-28 10:36:23.122000Z,172423M,Completed,Active
Tandem Project Management Limited,Add Members,2026-05-28 10:29:12.321000Z,173988M,Submitted,Active
St Vincents Healthcare Group,Add Members,2026-05-28 10:27:28.919000Z,173986M,Submitted,Active
Society of Saint Vincent De Paul,Add Members,2026-05-28 10:27:28.812000Z,173985M,Submitted,Active
Kerrigan Sheanon Newman Unlimited Company,Add Members,2026-05-28 10:20:05.225000Z,172453M,Completed,Active
Irish Life,Add Members,2026-05-28 10:18:39.691000Z,173974M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-28 10:17:39.208000Z,172422M,Completed,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-28 10:06:53.212000Z,173864M,Completed,Active
Pramerica Systems Ireland Ltd,Add Members,2026-05-28 10:03:29.573000Z,171557M,Completed,Active
Kerrigan Sheanon Newman Unlimited Company,Add Members,2026-05-28 09:45:10.111000Z,173937M,Received,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-28 09:35:18.150000Z,172347M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-28 09:31:42.596000Z,173927M,Received,Active
Kerrigan Sheanon Newman Unlimited Company,Add Members,2026-05-28 09:23:26.787000Z,173937M,Submitted,Active
Boxmore Plastics Limited,Add Members,2026-05-28 09:18:28.264000Z,173911M,Received,Active
Boxmore Plastics Limited,Add Members,2026-05-28 09:18:27.486000Z,173903M,Received,Active
Unio Employee Benefits,Add Members,2026-05-28 09:15:18.029000Z,173927M,Submitted,Active
WTW,Add Members,2026-05-28 09:05:25.552000Z,173895M,Received,Active
Irish Life,Add Members,2026-05-28 09:05:25.477000Z,173897M,Received,Active
MBC Financial Ltd,Add Members,2026-05-28 09:03:24.650000Z,171535M,Completed,Active
Boxmore Plastics Limited,Add Members,2026-05-28 09:02:56.588000Z,173911M,Submitted,Active
Boxmore Plastics Limited,Add Members,2026-05-28 08:54:43.777000Z,173903M,Submitted,Active
Irish Life,Add Members,2026-05-28 08:44:24.495000Z,173897M,Submitted,Active
St Vincents Healthcare Group,Add Members,2026-05-28 08:42:10.972000Z,172209M,Completed,Active
WTW,Add Members,2026-05-28 08:39:44.589000Z,173895M,Submitted,Active
St Catherines Association CLG,Add Members,2026-05-28 08:39:34.350000Z,173882M,Received,Active
Committe of Management Stable Ees,Add Members,2026-05-28 08:39:33.615000Z,173883M,Received,Active
Howden Insurance Ireland Limited,Add Members,2026-05-28 08:30:52.834000Z,173460M,Completed,Active
Committe of Management Stable Ees,Add Members,2026-05-28 08:17:16.821000Z,173883M,Submitted,Active
St Catherines Association CLG,Add Members,2026-05-28 08:16:08.534000Z,173882M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-28 08:13:46.327000Z,173872M,Received,Active
Irish Life,Add Members,2026-05-28 07:59:44.372000Z,173863M,Received,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-28 07:59:44.010000Z,173864M,Received,Active
Unio Employee Benefits,Add Members,2026-05-28 07:57:29.493000Z,173872M,Submitted,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-28 07:35:59.360000Z,173864M,Submitted,Active
Irish Life,Add Members,2026-05-28 07:35:28.577000Z,173863M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 17:23:55.960000Z,173694M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 17:09:11.676000Z,173694M,Submitted,Active
Net Zero Group,Add Members,2026-05-27 16:43:47.481000Z,173679M,Received,Active
MBC Financial Ltd,Add Members,2026-05-27 16:30:30.954000Z,171517M,Completed,Active
Net Zero Group,Add Members,2026-05-27 16:23:12.887000Z,173679M,Submitted,Active
Emerson Process Management Ltd,Add Members,2026-05-27 16:09:09.648000Z,173664M,Received,Active
Emerson Process Management Ltd,Add Members,2026-05-27 15:51:30.987000Z,173664M,Submitted,Active
CIE Group,Add Members,2026-05-27 15:36:50.258000Z,170424M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-27 15:30:23.684000Z,171829M,Cancelled,Active
Irish Life,Add Members,2026-05-27 15:30:23.066000Z,172781M,Cancelled,Active
Viatris Pension Plan,Add Members,2026-05-27 15:20:09.635000Z,173639M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 15:16:54.012000Z,171800M,Completed,Active
Irish Life,Add Members,2026-05-27 15:13:52.937000Z,173323M,Completed,Active
Dublin Central Mission,Add Members,2026-05-27 15:08:01.449000Z,173635M,Received,Active
Keyloop Ireland Ltd,Add Members,2026-05-27 15:07:20.068000Z,171507M,Completed,Active
Viatris Pension Plan,Add Members,2026-05-27 14:56:06.635000Z,173639M,Submitted,Active
Prosper Group Fingal and Meath,Add Members,2026-05-27 14:55:41.996000Z,173616M,Received,Active
Irish Life,Add Members,2026-05-27 14:55:31.983000Z,173617M,Received,Active
Prosper Group Fingal and Meath,Add Members,2026-05-27 14:55:30.235000Z,173612M,Received,Active
Sanbra Fyffe Limited,Add Members,2026-05-27 14:55:28.452000Z,173607M,Received,Active
Nordan Vinduer Limited,Add Members,2026-05-27 14:53:46.432000Z,173153M,Completed,Active
Tara Agnew WMA,Add Members,2026-05-27 14:53:01.136000Z,172905M,Completed,Active
Dublin Central Mission,Add Members,2026-05-27 14:45:12.849000Z,173635M,Submitted,Active
Irish Life,Add Members,2026-05-27 14:41:18.520000Z,173591M,Completed,Active
Intesa Sanpaolo Assicurazioni Dublin,Add Members,2026-05-27 14:41:17.534000Z,171823M,Completed,Active
Irish Medicines Verification Org,Add Members,2026-05-27 14:33:01.543000Z,171847M,Completed,Active
Intercom R and D Unlimited Company,Add Members,2026-05-27 14:31:48.881000Z,173602M,Received,Active
Irish Life,Add Members,2026-05-27 14:27:56.454000Z,173617M,Submitted,Active
Prosper Group Fingal and Meath,Add Members,2026-05-27 14:27:30.829000Z,173616M,Submitted,Active
Prosper Group Fingal and Meath,Add Members,2026-05-27 14:25:47.199000Z,173612M,Submitted,Active
Sanbra Fyffe Limited,Add Members,2026-05-27 14:20:43.498000Z,173607M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 14:19:20.962000Z,173593M,Received,Active
Irish Life,Add Members,2026-05-27 14:19:14.857000Z,173591M,Received,Active
Intercom R and D Unlimited Company,Add Members,2026-05-27 14:13:25.646000Z,173602M,Submitted,Active
Irish Life,Add Members,2026-05-27 14:06:34.851000Z,173567M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 14:04:40.373000Z,173593M,Submitted,Active
Irish Life,Add Members,2026-05-27 14:01:55.640000Z,173591M,Submitted,Active
Stantec UK Limited Ireland Branch,Add Members,2026-05-27 13:55:02.269000Z,171652M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-27 13:49:56.826000Z,171606M,Completed,Active
RKD Architects,Add Members,2026-05-27 13:44:00.969000Z,171804M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-27 13:42:55.257000Z,171673M,Completed,Active
Irish Life,Add Members,2026-05-27 13:42:50.466000Z,173567M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 13:35:28.246000Z,171670M,Completed,Active
Thermo King,Add Members,2026-05-27 13:28:21.072000Z,173540M,Received,Active
BKD and Partners Limited,Add Members,2026-05-27 13:15:36.491000Z,173524M,Received,Active
Thermo King,Add Members,2026-05-27 13:10:04.071000Z,173540M,Submitted,Active
BKD and Partners Limited,Add Members,2026-05-27 12:51:38.837000Z,173524M,Submitted,Active
Brand Energy and Infrastructure Services,Add Members,2026-05-27 12:36:53.764000Z,173500M,Received,Active
CIE Group,Add Members,2026-05-27 12:24:42.420000Z,173493M,Received,Active
Brand Energy and Infrastructure Services,Add Members,2026-05-27 12:17:08.644000Z,173500M,Submitted,Active
Laydex Limited,Add Members,2026-05-27 12:11:50.595000Z,173475M,Received,Active
CIE Group,Add Members,2026-05-27 12:06:43.599000Z,173493M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 12:06:37.334000Z,171668M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-27 12:05:01.887000Z,171511M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-27 11:58:21.038000Z,171583M,Completed,Active
Laydex Limited,Add Members,2026-05-27 11:45:54.089000Z,173475M,Submitted,Active
Howden Insurance Ireland Limited,Add Members,2026-05-27 11:40:35.743000Z,173460M,Received,Active
SGS Ireland Limited,Add Members,2026-05-27 11:40:34.413000Z,173457M,Received,Active
FDC Group,Add Members,2026-05-27 11:37:12.216000Z,167629M,Completed,Active
ING Bank NV Dublin Branch,Add Members,2026-05-27 11:27:34.451000Z,171519M,Completed,Active
Howden Insurance Ireland Limited,Add Members,2026-05-27 11:23:11.089000Z,173460M,Submitted,Active
Digicert Ireland Ltd DC Pension Scheme,Add Members,2026-05-27 11:21:33.165000Z,171594M,Completed,Active
SGS Ireland Limited,Add Members,2026-05-27 11:19:03.783000Z,173457M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 11:15:31.638000Z,173432M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 11:02:43.963000Z,173422M,Received,Active
SHS Sales and Marketing Ltd,Add Members,2026-05-27 11:02:43.811000Z,173421M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 11:02:43.192000Z,173420M,Received,Active
Irish Blood Transfusion Service,Add Members,2026-05-27 11:02:41.976000Z,173406M,Received,Active
eFlexes,Add Members,2026-05-27 11:02:41.449000Z,173403M,Received,Active
Irish Blood Transfusion Service,Add Members,2026-05-27 11:02:34.841000Z,173407M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 11:02:34.653000Z,173398M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 10:54:48.817000Z,173432M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 10:49:40.914000Z,173422M,Submitted,Active
SHS Sales and Marketing Ltd,Add Members,2026-05-27 10:49:11.877000Z,173421M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 10:49:03.768000Z,173420M,Submitted,Active
Bandon Vale Cheese,Add Members,2026-05-27 10:47:29.793000Z,171836M,Completed,Active
Irish Blood Transfusion Service,Add Members,2026-05-27 10:45:30.368000Z,173407M,Submitted,Active
Irish Blood Transfusion Service,Add Members,2026-05-27 10:44:04.182000Z,173406M,Submitted,Active
eFlexes,Add Members,2026-05-27 10:42:03.905000Z,173403M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 10:37:54.701000Z,173398M,Submitted,Active
Dentons Ire Legal Ser Ltd,Add Members,2026-05-27 10:37:03.978000Z,173365M,Received,Active
Fannin Limited,Add Members,2026-05-27 10:19:52.381000Z,171526M,Completed,Active
Tandem Project Management Limited,Add Members,2026-05-27 10:16:56.497000Z,171653M,Completed,Active
Dentons Ire Legal Ser Ltd,Add Members,2026-05-27 10:11:37.386000Z,173365M,Submitted,Active
Riverty Services Ireland Ltd,Add Members,2026-05-27 10:07:10.080000Z,171824M,Completed,Active
Maxol Lubricants Ltd,Add Members,2026-05-27 10:06:44.232000Z,173342M,Received,Active
ICOS Board,Add Members,2026-05-27 09:50:31.447000Z,171595M,Completed,Active
Maxol Lubricants Ltd,Add Members,2026-05-27 09:50:26.510000Z,173342M,Submitted,Active
Riot Games Ltd,Add Members,2026-05-27 09:46:40.543000Z,171621M,Completed,Active
Irish Life,Add Members,2026-05-27 09:40:13.280000Z,173323M,Received,Active
Open Text Ireland Ltd,Add Members,2026-05-27 09:24:28.733000Z,172772M,Completed,Active
Irish Life,Add Members,2026-05-27 09:21:42.108000Z,172954M,Completed,Active
Irish Life,Add Members,2026-05-27 09:17:47.608000Z,173323M,Submitted,Active
Dublin Simon Community,Add Members,2026-05-27 09:15:36.355000Z,173306M,Received,Active
Dublin Simon Community,Add Members,2026-05-27 08:52:37.817000Z,173306M,Submitted,Active
Moneywise Financial Planning Ltd,Add Members,2026-05-27 08:36:23.216000Z,173280M,Received,Active
Cumann Luthchleas Gael,Add Members,2026-05-27 08:36:17.264000Z,173275M,Received,Active
Provest Private Clients Ltd,Add Members,2026-05-27 08:36:16.916000Z,173279M,Received,Active
The Irish Times,Add Members,2026-05-27 08:30:20.803000Z,171743M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-27 08:22:46.989000Z,173264M,Received,Active
Moneywise Financial Planning Ltd,Add Members,2026-05-27 08:17:09.106000Z,173280M,Submitted,Active
Provest Private Clients Ltd,Add Members,2026-05-27 08:16:57.409000Z,173279M,Submitted,Active
Cumann Luthchleas Gael,Add Members,2026-05-27 08:15:41.623000Z,173275M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 07:55:38.667000Z,173264M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-27 07:55:00.103000Z,173252M,Received,Active
Unio Employee Benefits,Add Members,2026-05-27 07:30:13.618000Z,173252M,Submitted,Active
Castlehitt Limited,Add Members,2026-05-27 07:29:51.126000Z,173245M,Received,Active
Castlehitt Limited,Add Members,2026-05-27 07:15:32.886000Z,173245M,Submitted,Active
Healthhero Healthcare Ire Ltd,Add Members,2026-05-27 06:54:14.305000Z,173240M,Received,Active
Healthhero Healthcare Ire Ltd,Add Members,2026-05-27 06:39:34.613000Z,173240M,Submitted,Active
Nordan Vinduer Limited,Add Members,2026-05-26 23:19:40.372000Z,173153M,Received,Active
Nordan Vinduer Limited,Add Members,2026-05-26 22:57:33.850000Z,173153M,Submitted,Active
The Agricultural Trust,Add Members,2026-05-26 16:03:50.715000Z,173037M,Received,Active
Irish Life,Add Members,2026-05-26 15:44:27.449000Z,173023M,Received,Active
The Agricultural Trust,Add Members,2026-05-26 15:41:24.560000Z,173037M,Submitted,Active
Elliott Building and Civil Engineering Ltd,Add Members,2026-05-26 15:29:45.182000Z,170853M,Completed,Active
DCC Oil Ireland,Add Members,2026-05-26 15:22:09.710000Z,170877M,Completed,Active
Irish Life,Add Members,2026-05-26 15:20:27.359000Z,173023M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-26 15:17:33.810000Z,170931M,Completed,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-05-26 15:17:08.585000Z,172991M,Received,Active
RSM Ireland Business Advisory Ltd,Add Members,2026-05-26 15:11:46.546000Z,170938M,Completed,Active
Crotty Insurance Brokers Ltd,Add Members,2026-05-26 15:02:24.348000Z,172986M,Received,Active
Medite Europe DAC,Add Members,2026-05-26 15:02:22.471000Z,172981M,Received,Active
Unio Employee Benefits,Add Members,2026-05-26 15:02:14.380000Z,172974M,Received,Active
Unio Employee Benefits,Add Members,2026-05-26 15:00:07.711000Z,171183M,Completed,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-05-26 14:46:51.035000Z,172991M,Submitted,Active
Crotty Insurance Brokers Ltd,Add Members,2026-05-26 14:45:10.815000Z,172986M,Submitted,Active
Vera Financial DAC,Add Members,2026-05-26 14:45:08.812000Z,159170M,Completed,Active
Medite Europe DAC,Add Members,2026-05-26 14:40:11.133000Z,172981M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-26 14:36:09.363000Z,172974M,Submitted,Active
Irish Life,Add Members,2026-05-26 14:33:43.342000Z,172954M,Received,Active
MCG Financial Services Ltd,Add Members,2026-05-26 14:28:46.144000Z,172823M,Completed,Active
MCG Financial Services Ltd,Add Members,2026-05-26 14:25:38.668000Z,172324M,Completed,Active
Cushman and Wakefield Ireland,Add Members,2026-05-26 14:20:37.061000Z,172947M,Received,Active
Irish Life,Add Members,2026-05-26 14:15:02.118000Z,172954M,Submitted,Active
SGS Ireland Limited,Add Members,2026-05-26 14:11:25.679000Z,171210M,Completed,Active
Trulife Ltd,Add Members,2026-05-26 14:04:22.653000Z,171214M,Completed,Active
Cushman and Wakefield Ireland,Add Members,2026-05-26 14:00:56.855000Z,172947M,Submitted,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-05-26 13:26:53.577000Z,172909M,Received,Active
Kingfisher,Add Members,2026-05-26 13:20:27.790000Z,171090M,Completed,Active
Tara Agnew WMA,Add Members,2026-05-26 13:13:11.918000Z,172905M,Received,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-05-26 13:11:59.491000Z,172909M,Submitted,Active
Patrick J Tobin Ltd,Add Members,2026-05-26 13:05:20.156000Z,171093M,Completed,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-05-26 12:53:33.444000Z,172897M,Received,Active
Tara Agnew WMA,Add Members,2026-05-26 12:51:25.697000Z,172905M,Submitted,Active
Irish Life,Add Members,2026-05-26 12:31:50.079000Z,171704M,Completed,Active
Brinks Cash Services  Ireland  Limited,Add Members,2026-05-26 12:29:35.064000Z,172897M,Submitted,Active
MMPI,Add Members,2026-05-26 12:13:32.997000Z,172871M,Received,Active
MMPI,Add Members,2026-05-26 12:00:10.093000Z,172869M,Received,Active
Comhar Linn INTO Credit Union Ltd,Add Members,2026-05-26 12:00:08.619000Z,172865M,Received,Active
MMPI,Add Members,2026-05-26 11:47:19.989000Z,172871M,Submitted,Active
Virtu Financial Ireland Ltd,Add Members,2026-05-26 11:46:54.989000Z,172853M,Received,Active
MMPI,Add Members,2026-05-26 11:44:38.348000Z,172869M,Submitted,Active
Comhar Linn INTO Credit Union Ltd,Add Members,2026-05-26 11:41:02.407000Z,172865M,Submitted,Active
Elliott Building and Civil Engineering Ltd,Add Members,2026-05-26 11:36:04.107000Z,170862M,Completed,Active
Kent Stainless Wexford Limited,Add Members,2026-05-26 11:33:41.110000Z,172846M,Received,Active
Chemco Ireland Ltd,Add Members,2026-05-26 11:24:24.936000Z,170979M,Completed,Active
Chemco Ireland Ltd,Add Members,2026-05-26 11:23:19.552000Z,170981M,Completed,Active
Virtu Financial Ireland Ltd,Add Members,2026-05-26 11:22:23.179000Z,172853M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-26 11:18:39.065000Z,170861M,Completed,Active
Kent Stainless Wexford Limited,Add Members,2026-05-26 11:08:23.610000Z,172846M,Submitted,Active
MCG Financial Services Ltd,Add Members,2026-05-26 11:07:44.702000Z,172823M,Received,Active
Irish Life,Add Members,2026-05-26 11:02:04.064000Z,170974M,Completed,Active
Toasttab Ireland Limited,Add Members,2026-05-26 10:55:28.455000Z,170948M,Completed,Active
Miele Ireland Ltd,Add Members,2026-05-26 10:54:21.170000Z,172812M,Received,Active
Renaissance Services of Europe Limited,Add Members,2026-05-26 10:50:41.543000Z,171057M,Completed,Active
RKD Architects,Add Members,2026-05-26 10:45:09.728000Z,171208M,Completed,Active
MCG Financial Services Ltd,Add Members,2026-05-26 10:44:19.177000Z,172823M,Submitted,Active
Miele Ireland Ltd,Add Members,2026-05-26 10:35:53.210000Z,172812M,Submitted,Active
Donegal Local Development CLG,Add Members,2026-05-26 10:29:29.540000Z,170847M,Completed,Active
Irish Life,Add Members,2026-05-26 10:27:18.874000Z,172781M,Received,Active
Open Text Ireland Ltd,Add Members,2026-05-26 10:14:16.569000Z,172772M,Received,Active
Irish Life,Add Members,2026-05-26 10:06:50.157000Z,172781M,Submitted,Active
Irish Life,Add Members,2026-05-26 10:05:08.566000Z,171706M,Completed,Active
Unio Employee Benefits,Add Members,2026-05-26 10:00:40.262000Z,172761M,Received,Active
Open Text Ireland Ltd,Add Members,2026-05-26 09:51:14.612000Z,172772M,Submitted,Active
Depaul Ireland,Add Members,2026-05-26 09:47:12.833000Z,172755M,Received,Active
Unio Employee Benefits,Add Members,2026-05-26 09:47:09.267000Z,172749M,Received,Active
Unio Employee Benefits,Add Members,2026-05-26 09:41:49.545000Z,172761M,Submitted,Active
Depaul Ireland,Add Members,2026-05-26 09:32:38.117000Z,172755M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-26 09:21:31.090000Z,172749M,Submitted,Active
Anne Sullivan Centre Ltd,Add Members,2026-05-26 08:56:13.065000Z,171025M,Completed,Active
Advanced Manufacturing Control Systems,Add Members,2026-05-26 08:53:56.151000Z,172718M,Received,Active
Jazz Pharmaceuticals Ireland Limited,Add Members,2026-05-26 08:52:34.752000Z,170275M,Completed,Active
Advanced Manufacturing Control Systems,Add Members,2026-05-26 08:30:28.215000Z,172718M,Submitted,Active
Unio Employee Benefits,Add Members,2026-05-26 08:27:29.641000Z,172699M,Received,Active
Bon Secours Health System CLG,Add Members,2026-05-26 08:27:28.245000Z,172694M,Received,Active
Bon Secours Health System CLG,Add Members,2026-05-26 08:14:07.385000Z,172693M,Received,Active
Cognizant Technology Solutions Ireland,Add Members,2026-05-26 08:14:07.070000Z,172692M,Received,Active
Bon Secours Health System CLG,Add Members,2026-05-26 08:14:01.032000Z,172688M,Received,Active
Unio Employee Benefits,Add Members,2026-05-26 08:04:59.700000Z,172699M,Submitted,Active
Bon Secours Health System CLG,Add Members,2026-05-26 07:59:15.517000Z,172694M,Submitted,Active
Dornan Engineering Limited,Add Members,2026-05-26 07:58:57.400000Z,172687M,Received,Active
Bon Secours Health System CLG,Add Members,2026-05-26 07:57:57.441000Z,172693M,Submitted,Active
Cognizant Technology Solutions Ireland,Add Members,2026-05-26 07:57:00.972000Z,172692M,Submitted,Active
Bon Secours Health System CLG,Add Members,2026-05-26 07:48:33.127000Z,172688M,Submitted,Active
Dornan Engineering Limited,Add Members,2026-05-26 07:42:12.234000Z,172687M,Submitted,Active
RSM Ireland Business Advisory Ltd,Add Members,2026-05-25 16:43:27.062000Z,172546M,Received,Active
RSM Ireland Business Advisory Ltd,Add Members,2026-05-25 16:22:59.912000Z,172546M,Submitted,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-25 15:46:55.943000Z,170363M,Completed,Active
Wallace Financial Consultants Ltd,Add Members,2026-05-25 15:36:09.456000Z,172497M,Received,Active
International Airline Marketing,Add Members,2026-05-25 15:23:42.615000Z,172485M,Received,Active
Kirwan Pike Insurance and Fin Servs,Add Members,2026-05-25 15:23:39.024000Z,172478M,Received,Active
Wallace Financial Consultants Ltd,Add Members,2026-05-25 15:22:40.349000Z,172497M,Submitted,Active
eircom,Add Members,2026-05-25 15:21:15.341000Z,170276M,Completed,Active
eircom,Add Members,2026-05-25 15:13:54.597000Z,170288M,Completed,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-25 15:09:38.042000Z,172475M,Received,Active
International Airline Marketing,Add Members,2026-05-25 15:06:32.861000Z,172485M,Submitted,Active
CoAction West Cork CLG,Add Members,2026-05-25 15:05:42.214000Z,170177M,Completed,Active
Kirwan Pike Insurance and Fin Servs,Add Members,2026-05-25 14:59:29.098000Z,172478M,Submitted,Active
Crosscare,Add Members,2026-05-25 14:56:29.916000Z,170411M,Completed,Active
DLA Piper Ireland LLP,Add Members,2026-05-25 14:56:22.754000Z,170386M,Completed,Active
NFP Ireland Consultants Ltd,Add Members,2026-05-25 14:55:26.134000Z,172475M,Submitted,Active
PayPal Europe Services Limited,Add Members,2026-05-25 14:54:49.724000Z,170058M,Completed,Active
BOC Gases Ireland Limited,Add Members,2026-05-25 14:50:52.814000Z,167333M,Completed,Active
Dropbox Group DC Pension Scheme,Add Members,2026-05-25 14:48:12.140000Z,170489M,Completed,Active
Appian Fastener Systems Limited,Add Members,2026-05-25 14:47:56.648000Z,171102M,Completed,Active
Kerrigan Sheanon Newman Unlimited Company,Add Members,2026-05-25 14:44:51.120000Z,172453M,Received,Active
Moorehaven Centre Tipperary DAC,Add Members,2026-05-25 14:36:14.999000Z,172337M,Completed,Active
Elliott Building and Civil Engineering Ltd,Add Members,2026-05-25 14:34:53.529000Z,170269M,Completed,Active
