Organization Name,Use Case Name,Submission Date and Time (UTC),Reference Number,Submission Status,Organization Status
WWTS Limited,Update Members,2026-06-16 18:01:00.999000Z,186063M,Received,Active
WWTS Limited,Update Members,2026-06-16 17:39:21.963000Z,186063M,Submitted,Active
Three Ireland Hutchison Limited,Update Members,2026-06-16 16:25:43.989000Z,186024M,Received,Active
Three Ireland Hutchison Limited,Update Members,2026-06-16 16:05:29.946000Z,186024M,Submitted,Active
Orsted Onshore Ireland Holdings Limited,Update Members,2026-06-16 15:05:56.121000Z,185981M,Received,Active
Orsted Onshore Ireland Holdings Limited,Update Members,2026-06-16 14:39:54.576000Z,185981M,Submitted,Active
First Citizen Finance Limited,Update Members,2026-06-16 14:21:33.880000Z,185957M,Received,Active
Bimeda Animal Health Ltd,Update Members,2026-06-16 14:21:22.940000Z,185961M,Received,Active
Bimeda Animal Health Ltd,Update Members,2026-06-16 14:01:09.529000Z,185961M,Submitted,Active
First Citizen Finance Limited,Update Members,2026-06-16 13:58:50.751000Z,185957M,Submitted,Active
Pramerica Systems Ireland Ltd,Update Members,2026-06-16 12:08:23.832000Z,182813M,Completed,Active
Focus Ireland,Update Members,2026-06-16 11:44:49.510000Z,185848M,Received,Active
Focus Ireland,Update Members,2026-06-16 11:17:00.675000Z,185848M,Submitted,Active
Demonware Limited,Update Members,2026-06-16 10:29:53.349000Z,183490M,Completed,Active
Ethos Engineering Limited,Update Members,2026-06-16 09:21:08.814000Z,183067M,Completed,Active
Beacon Hospital Sandyford Limited,Update Members,2026-06-16 08:25:54.270000Z,183799M,Completed,Active
Schneider Electric Ireland Limited,Update Members,2026-06-16 07:49:38.910000Z,177734M,Completed,Active
Lacework Ireland Ltd,Update Members,2026-06-16 06:50:06.227000Z,183141M,Cancelled,Active
Carlyle Aviation Management Ltd,Update Members,2026-06-15 19:00:02.061000Z,185568M,Received,Active
Carlyle Aviation Management Ltd,Update Members,2026-06-15 18:39:41.519000Z,185568M,Submitted,Active
Mason Hayes and Curran,Update Members,2026-06-15 15:43:08.897000Z,185446M,Received,Active
